time,x,y,z,xref,yref,zref,ux,uy,uz,dx_dt,dy_dt,dz_dt,rx_est,ry_est,rz_est
37.726784,2.339,-0.1172,-0.0004816,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,4.150300332013131,3.6594040927567946,0.0027749422219981792,-1.9143884036160603e-05,-0.0003073556643413024,0.02787397936606481
37.736782,2.388,-0.08301,-0.0004553,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,4.400880176035784,3.1751350270057315,0.0021904380876179436,-2.062404650922446e-05,-0.0004323883639727929,0.03150610322066609
37.74678,2.427,-0.05371,-0.0004378,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,4.3995305858996545,3.661651293446082,0.0010203140935558658,-2.9101755433273382e-05,-0.00036538891264411796,-0.00036797918889933806
37.756783,2.476,-0.009766,-0.0004349,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,4.6496431052785,4.394280885210717,0.00014492027572976865,-3.642624813984081e-05,-0.00023533497637195596,-0.0021895679848476955
37.766781,2.52,0.03418,-0.0004349,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,5.849420467976344,4.638702691099455,-0.0005797680463908057,-1.6292681082043085e-05,-0.000190002566545091,0.003869726534688679
37.776783,2.593,0.08301,-0.0004465,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,6.549700523989017,4.640903571276967,-0.0016051781284076305,-7.3841391776820295e-06,-0.00019244118420028372,-0.0009087125531509199
37.786781,2.651,0.127,-0.000467,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,7.049500563980928,3.6597960927728774,-0.0017551181404051978,-5.115987849193946e-06,-0.00036240891033377477,0.035242423619616256
37.796783,2.734,0.1562,-0.0004816,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,8.049522889817212,3.9051004059193604,-0.0024801820871920115,2.6887485410148913e-05,-0.0003344382301724246,0.026536080481601637
37.806782,2.812,0.2051,-0.0005166,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,7.3497678355782625,4.155012925290395,-0.0033548759049906313,-5.279228756651549e-06,-0.0002704483697451223,0.029707087687089795
37.816784,2.881,0.2393,-0.0005487,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,7.85038062801371,3.4149982731993944,-0.0033550582684017637,5.425197173162952e-06,-0.00039649604553902164,0.0638975537279558
37.826782,2.969,0.2734,-0.0005837,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,8.051282743923935,3.4155118437810668,-0.003795539845531184,1.1577960168454213e-05,-0.0003936183000608206,0.07496917687562968
37.836781,3.042,0.3076,-0.0006246,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,7.54954786607064,3.4198291624263923,-0.004814542000422764,-6.997458159428352e-06,-0.00037510887661086395,0.05589574421789789
37.846783,3.12,0.3418,-0.00068,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,8.550300684014047,3.420000273600694,-0.005399944431998798,2.087574582000884e-05,-0.0003458576324235366,0.0594909050951028
37.856781,3.213,0.376,-0.0007326,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,8.550300684014047,2.930196234408637,-0.0058397684671916555,2.2077189334653274e-05,-0.00041931170561222697,0.07069690453522026
37.866783,3.291,0.4004,-0.0007968,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,8.80040070401435,3.4153902732147827,-0.006855174548405785,3.318345856985944e-05,-0.0002970979466422032,0.04201147460934557
37.876781,3.389,0.4443,-0.0008697,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,9.049923616229876,3.1754490940443567,-0.0072946336802244965,3.7271198092032486e-05,-0.00030106814844423134,0.06293655119786329
37.886784,3.472,0.4639,-0.0009427,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,8.299586058093155,1.9548999994753835,-0.007314642681774786,2.225701930796281e-05,-0.000492498055614404,0.08149048059681419
37.896782,3.555,0.4834,-0.001016,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,8.301660332066831,1.4652930586114508,-0.007016403280656253,2.9980306006820504e-05,-0.0005480248719200411,0.11658243648729111
37.90678,3.638,0.4932,-0.001083,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,7.80020062400979,1.2199040975963094,-0.007549660603987582,2.832504620992667e-05,-0.0005703227988883964,0.09850374362352926
37.916782,3.711,0.5078,-0.001167,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,7.299635346699603,1.464928319427429,-0.008299555397191814,2.1500360813961317e-05,-0.0004757536553787042,0.07389924383481195
37.926781,3.784,0.5225,-0.001249,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,7.0997053312027845,0.9750997814601945,-0.007899695366198146,2.367704934593066e-05,-0.0005195134112244666,0.10950392625516087
37.936783,3.853,0.5273,-0.001325,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,6.599880527994287,0.7301000584038171,-0.008350300668010485,2.1801507900359143e-05,-0.0005273595379468628,0.0907462810764118
37.946781,3.916,0.5371,-0.001416,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,6.7998005439910685,0.4901960392076212,-0.008450260676008917,3.663126036241774e-05,-0.0005126848870895924,0.09532037185825387
37.956783,3.989,0.5371,-0.001494,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,6.099335325697183,-0.24506125428800019,-0.008149697876571882,3.2508428760745164e-05,-0.0006147828308400844,0.11103379501282201
37.966782,4.038,0.5322,-0.001579,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,5.649492790829271,-0.4899755232716245,-0.008349627892068681,3.328274798158339e-05,-0.0006074564923852026,0.09568145380264936
