# PCChua Data Acquisition and Control Software
# Date: Fri Aug 29 07:15:00 1997
# 
# Experiment: Data Acquisition from Chua's Circuit.
#
# Ts = 10.00 ms
#
# Columns (10): 
# (time)  (x  y  z)  (xref  yref  zref)  (ux  uy  uz)

0.756782 -1.211e+00 7.715e-01 4.261e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.766782 -1.113e+00 7.422e-01 3.123e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.776782 -1.021e+00 7.129e-01 2.043e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.786782 -9.277e-01 6.738e-01 8.756e-05 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.796782 -8.105e-01 6.348e-01 -1.167e-05 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.806782 -7.324e-01 6.006e-01 -1.109e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.816781 -6.543e-01 5.518e-01 -1.897e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.826781 -5.713e-01 5.078e-01 -2.685e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.836782 -5.078e-01 4.492e-01 -3.298e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.846781 -4.443e-01 4.199e-01 -4.174e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.856783 -3.955e-01 3.564e-01 -4.553e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.866782 -3.516e-01 3.125e-01 -5.137e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.876783 -3.076e-01 2.539e-01 -5.312e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.886782 -2.979e-01 2.051e-01 -5.604e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.896782 -2.734e-01 1.562e-01 -5.925e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.906782 -2.881e-01 1.025e-01 -5.983e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.916783 -3.027e-01 5.371e-02 -5.983e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.926781 -3.223e-01 1.953e-02 -6.129e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.936783 -3.613e-01 -3.906e-02 -5.983e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.946782 -4.199e-01 -7.812e-02 -5.808e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.956783 -4.932e-01 -1.270e-01 -5.604e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.966783 -5.762e-01 -1.611e-01 -5.283e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.976781 -6.885e-01 -2.246e-01 -4.728e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.986781 -8.252e-01 -2.539e-01 -4.407e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.996782 -9.521e-01 -2.881e-01 -3.853e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.006783 -1.113e+00 -3.369e-01 -3.269e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.016782 -1.279e+00 -3.760e-01 -2.568e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.026782 -1.494e+00 -4.199e-01 -1.868e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.036782 -1.719e+00 -4.688e-01 -1.022e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.046783 -1.914e+00 -5.029e-01 -2.043e-05 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.056782 -2.144e+00 -5.371e-01 6.713e-05 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.066782 -2.339e+00 -5.713e-01 1.693e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.076782 -2.539e+00 -6.055e-01 2.714e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.086782 -2.725e+00 -6.543e-01 3.882e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.096782 -2.896e+00 -6.738e-01 4.962e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.106782 -3.076e+00 -7.080e-01 6.158e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.116782 -3.242e+00 -7.227e-01 7.326e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.126783 -3.394e+00 -7.422e-01 8.610e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.136783 -3.535e+00 -7.568e-01 9.836e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.146782 -3.677e+00 -7.568e-01 1.115e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.156783 -3.804e+00 -7.715e-01 1.240e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.166782 -3.906e+00 -7.666e-01 1.372e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.176782 -4.023e+00 -7.617e-01 1.500e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.186782 -4.126e+00 -7.471e-01 1.620e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.196782 -4.189e+00 -7.275e-01 1.737e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.206783 -4.282e+00 -7.080e-01 1.856e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.216782 -4.331e+00 -6.836e-01 1.979e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.226782 -4.385e+00 -6.543e-01 2.090e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.236781 -4.414e+00 -6.250e-01 2.201e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.246782 -4.443e+00 -5.762e-01 2.294e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.256782 -4.468e+00 -5.371e-01 2.384e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.266782 -4.468e+00 -4.785e-01 2.457e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.276782 -4.453e+00 -4.297e-01 2.539e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.286782 -4.448e+00 -3.613e-01 2.589e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.296781 -4.399e+00 -3.027e-01 2.635e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.306783 -4.355e+00 -2.588e-01 2.697e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.316782 -4.297e+00 -1.855e-01 2.720e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.326782 -4.219e+00 -1.172e-01 2.749e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.336783 -4.150e+00 -5.859e-02 2.758e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.346783 -4.043e+00 0.000e+00 2.781e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.356782 -3.975e+00 7.812e-02 2.761e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.366782 -3.872e+00 1.514e-01 2.726e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.376782 -3.765e+00 2.197e-01 2.697e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.386782 -3.633e+00 2.783e-01 2.656e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.396781 -3.511e+00 3.711e-01 2.586e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.406783 -3.379e+00 4.150e-01 2.530e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.416782 -3.242e+00 4.736e-01 2.463e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.426782 -3.110e+00 5.322e-01 2.379e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.436781 -2.969e+00 5.713e-01 2.294e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.446784 -2.832e+00 6.299e-01 2.198e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.456781 -2.690e+00 6.592e-01 2.101e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.466782 -2.559e+00 7.178e-01 1.976e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.476782 -2.422e+00 7.520e-01 1.859e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
