# PCChua Data Acquisition and Control Software
# Date: Fri Aug 29 07:16:54 1997
# 
# Experiment: Chua's Circuit Perturbation.
#
# Ts = 10.00 ms
#
# Columns (10): 
# (time)  (x  y  z)  (xref  yref  zref)  (ux  uy  uz)

1.180233 3.809e+00 -2.441e-01 -2.738e-03 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
1.190233 3.672e+00 -3.223e-01 -2.749e-03 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
1.200234 3.530e+00 -4.004e-01 -2.703e-03 7.339e-06 7.339e-06 7.339e-03 6.105e-06 6.105e-06 1.961e-02
1.210234 3.398e+00 -4.541e-01 -2.598e-03 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
1.220234 3.276e+00 -4.980e-01 -2.443e-03 4.778e-04 4.778e-04 4.778e-01 4.774e-04 4.774e-04 4.902e-01
1.230235 3.169e+00 -5.225e-01 -2.268e-03 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
1.240233 3.071e+00 -5.615e-01 -2.093e-03 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
1.250233 2.930e+00 -5.908e-01 -1.967e-03 -7.330e-06 -7.330e-06 -7.330e-03 -8.547e-06 -8.547e-06 1.961e-02
1.260233 2.798e+00 -6.152e-01 -1.888e-03 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
1.270234 2.651e+00 -6.641e-01 -1.850e-03 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
1.280233 2.510e+00 -7.031e-01 -1.824e-03 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
1.290234 2.368e+00 -7.471e-01 -1.772e-03 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
1.300234 2.246e+00 -7.812e-01 -1.658e-03 7.358e-06 7.358e-06 7.358e-03 6.105e-06 6.105e-06 1.961e-02
1.310236 2.153e+00 -7.861e-01 -1.506e-03 2.999e-04 2.999e-04 2.999e-01 2.991e-04 2.991e-04 3.333e-01
1.320235 2.046e+00 -7.959e-01 -1.290e-03 4.778e-04 4.778e-04 4.778e-01 4.774e-04 4.774e-04 4.902e-01
1.330234 1.973e+00 -7.666e-01 -1.077e-03 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
1.340233 1.895e+00 -7.471e-01 -8.727e-04 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
1.350234 1.826e+00 -7.275e-01 -7.267e-04 -7.364e-06 -7.364e-06 -7.364e-03 -8.547e-06 -8.547e-06 1.961e-02
1.360234 1.758e+00 -6.836e-01 -6.508e-04 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
1.370234 1.641e+00 -6.836e-01 -6.012e-04 -4.778e-04 -4.778e-04 -4.778e-01 -4.799e-04 -4.799e-04 -4.510e-01
1.380234 1.548e+00 -6.738e-01 -5.808e-04 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
